Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food, BY TYPE: Tiles, Buildings, Districts, Population, Outg
64, CIVILIZATION_STOCKHOLM, 1, 6, 8, 5, 6, 0, 0, 0, 7, 4, 159, 0, 6, 4, 8, 0, 5, 12, 7, 13, 1, 6, 4, 0
64, CIVILIZATION_ARMAGH, 1, 4, 6, 5, 6, 0, 0, 0, 8, 5, 100, 117, 4, 4, 7, 3, 6, 10, 8, 15, 1, 3, 0, 0
64, CIVILIZATION_KANDY, 1, 3, 8, 5, 7, 0, 0, 0, 8, 3, 288, 37, 4, 4, 13, 1, 3, 7, 8, 12, 1, 2, 0, 0
64, CIVILIZATION_KUMASI, 1, 2, 9, 5, 5, 0, 0, 0, 7, 3, 318, 0, 3, 3, 5, 0, 4, 4, 7, 13, 0, 1, 0, 0
64, CIVILIZATION_GRANADA, 1, 5, 9, 5, 6, 0, 0, 0, 7, 6, 108, 15, 5, 4, 7, 1, 5, 13, 7, 13, 0, 5, 5, 0
64, CIVILIZATION_BRUSSELS, 1, 5, 8, 6, 3, 0, 0, 0, 7, 3, 140, 0, 5, 5, 13, 0, 4, 13, 7, 13, 0, 5, 8, 0
65, CIVILIZATION_ROME, 1, 6, 8, 7, 2, 0, 0, 0, 14, 8, 136, 51, 6, 7, 36, 4, 10, 17, 14, 13, 2, 5, 5, 0
65, CIVILIZATION_CHINA, 2, 8, 9, 5, 6, 0, 0, 1, 22, 4, 161, 39, 14, 4, 18, 2, 22, 26, 22, 11, 2, 7, 0, 0
65, CIVILIZATION_JAPAN, 3, 12, 11, 6, 7, 0, 0, 0, 31, 7, 305, 228, 13, 8, 20, 8, 34, 37, 31, 14, 2, 11, 0, 3
65, CIVILIZATION_AMERICA, 2, 6, 9, 6, 4, 0, 0, 0, 23, 8, 14, 42, 9, 9, 10, 3, 20, 19, 23, 16, 1, 5, 0, 0
65, CIVILIZATION_SPAIN, 2, 5, 8, 4, 6, 0, 0, 1, 20, 3, 130, 123, 6, 2, 15, 4, 18, 14, 20, 12, 1, 4, 0, 0
65, CIVILIZATION_EGYPT, 3, 8, 7, 8, 8, 0, 0, 1, 29, 3, 128, 378, 8, 7, 14, 10, 21, 23, 29, 14, 1, 7, 2, 0
65, CIVILIZATION_KONGO, 2, 5, 8, 6, 2, 0, 0, 0, 21, 2, 100, 64, 10, 7, 6, 2, 17, 15, 21, 14, 1, 4, 0, 0
65, CIVILIZATION_AZTEC, 2, 4, 8, 3, 2, 0, 0, 0, 19, 0, 72, 7, 5, 2, 10, 0, 16, 9, 19, 10, 1, 3, 0, 0
